tournament_name,tournament_page_link,tournament_logo_link,tournament_format,tournament_stage,match_format,match_status,team1_page_link,team1_logo_link,team1,team1_score,team2_score,team2,team2_logo_link,team2_page_link,match_begin_time_UTC+0,match_url
IEM Rio 2024,https://escorenews.com/ru/csgo/iem-rio-2024,https://escorenews.com/media/event/_120/e8436.png,"Upper Bracket, Round 1",Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/liquid,https://escorenews.com/media/logo/_90/t4646.png,Team Liquid,0,0,FLUFFY AIMERS,https://escorenews.com/media/logo/_90/t96048.png,https://escorenews.com/ru/csgo/team/fluffy-aimers,2024-08-31 21:30:00,https://escorenews.com/ru/csgo/iem-rio-2024/north-america/liquid-vs-fluffy-aimers-535182
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group C,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/preasy-esport,https://escorenews.com/media/logo/_90/t96510.png,Preasy Esport,0,0,Viperio,https://escorenews.com/media/logo/_90/t82216.png,https://escorenews.com/ru/csgo/team/viperio,2024-09-03 08:00:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/preasy-esport-vs-viperio-572896
UKIC League S3,https://escorenews.com/ru/csgo/ukic-league-season-3,https://escorenews.com/media/event/_120/e9197.png,1/2,Phase 1,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/boys,https://escorenews.com/media/logo/not.svg,The Boys,0,0,Dreams To Legends,https://escorenews.com/media/logo/_90/t100476.png,https://escorenews.com/ru/csgo/team/dreams-to-legends,2024-09-02 19:00:00,https://escorenews.com/ru/csgo/ukic-league-season-3/playoff/boys-vs-dreams-to-legends-567252
CCT S2 SA #3,https://escorenews.com/ru/csgo/cct-season-2-south-american-series-3,https://escorenews.com/media/event/_120/e9253.png,Table,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/yawara-esports,https://escorenews.com/media/logo/_90/t91405.png,Yawara Esports,0,0,LaChampionsLiga,https://escorenews.com/media/logo/not.svg,https://escorenews.com/ru/csgo/team/lachampionsliga,2024-08-30 22:30:00,https://escorenews.com/ru/csgo/cct-season-2-south-american-series-3/group-stage/yawara-esports-vs-lachampionsliga-571913
CCT S2 SA #3,https://escorenews.com/ru/csgo/cct-season-2-south-american-series-3,https://escorenews.com/media/event/_120/e9253.png,Table,Group Stage,Best of 3,scheduled,TBD,TBD,TBD,0,0,paiN Academy,https://escorenews.com/media/logo/_90/t92899.png,https://escorenews.com/ru/csgo/team/pain-academy,2024-08-30 19:30:00,https://escorenews.com/ru/csgo/cct-season-2-south-american-series-3/group-stage/players-vs-pain-academy-571912
ESL Atlanta 2024,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024,https://escorenews.com/media/event/_120/e8439.png,"Upper Bracket, Round 3",Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/saw,https://escorenews.com/media/logo/_90/t45118.png,SAW,0,0,GUN5 Esports,https://escorenews.com/media/logo/_90/t97146.png,https://escorenews.com/ru/csgo/team/gun5,2024-08-30 17:30:00,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024/europe/saw-vs-gun5-535737
BBD Belgrade 2024 #2,https://escorenews.com/ru/csgo/betboom-dacha-belgrade-2024-2,https://escorenews.com/media/event/_120/e9219.png,"Upper Bracket, Round 3",Playoff,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/mouz,https://escorenews.com/media/logo/_90/t4640.png,MOUZ,0,0,Team Spirit,https://escorenews.com/media/logo/_90/t10785.png,https://escorenews.com/ru/csgo/team/spirit,2024-08-30 18:00:00,https://escorenews.com/ru/csgo/betboom-dacha-belgrade-2024-2/playoff/mouz-vs-spirit-569429
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Lower Bracket, Round 1",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/monte-gen,https://escorenews.com/media/logo/_90/t97659.png,Monte Gen,0,0,9INE Academy,https://escorenews.com/media/logo/_90/t89242.png,https://escorenews.com/ru/csgo/team/9ine-academy,2024-08-30 17:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/monte-gen-vs-9ine-academy-572620
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Upper Bracket, Round 2",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/copenhagen-wolves,https://escorenews.com/media/logo/_90/t40233.png,Copenhagen Wolves,0,0,DASH,https://escorenews.com/media/logo/_90/t98838.png,https://escorenews.com/ru/csgo/team/dash,2024-08-30 17:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/copenhagen-wolves-vs-dash-572619
CCT S2 EU #11,https://escorenews.com/ru/csgo/cct-season-2-european-series-11,https://escorenews.com/media/event/_120/e9251.png,"Upper Bracket, Round 2",Group D,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/team-spirit-academy,https://escorenews.com/media/logo/_90/t13033.png,Team Spirit Academy,0,0,RUBY,https://escorenews.com/media/logo/_90/t98544.png,https://escorenews.com/ru/csgo/team/ruby,2024-08-30 17:00:00,https://escorenews.com/ru/csgo/cct-season-2-european-series-11/closed-qualifier/team-spirit-academy-vs-ruby-571471
PW Shanghai Major 2024,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024,https://escorenews.com/media/event/_120/e8281.png,Final,Middle East Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/onyx-ravens,https://escorenews.com/media/logo/_90/t98073.png,Onyx Ravens,0,0,TBD,TBD,TBD,2024-08-30 16:00:00,https://escorenews.com/ru/csgo/perfect-world-shanghai-major-2024/apac/onyx-ravens-vs-tbd-562719
TC 2024 Fall,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024,https://escorenews.com/media/event/_120/e8794.png,"Upper Bracket, Round 2",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/andromeda,https://escorenews.com/media/logo/_90/t93803.png,ANDROMEDA,0,0,Sampi NEXT,https://escorenews.com/media/logo/_90/t96975.png,https://escorenews.com/ru/csgo/team/sampi-next,2024-08-30 16:00:00,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024/closed-qualifier/andromeda-vs-sampi-next-545016
BBD Belgrade 2024 #2,https://escorenews.com/ru/csgo/betboom-dacha-belgrade-2024-2,https://escorenews.com/media/event/_120/e9219.png,"Lower Bracket, Round 2",Playoff,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/furia,https://escorenews.com/media/logo/_90/t24963.png,FURIA Esports,0,0,Eternal Fire,https://escorenews.com/media/logo/_90/t86062.png,https://escorenews.com/ru/csgo/team/eternal-fire,2024-08-30 14:30:00,https://escorenews.com/ru/csgo/betboom-dacha-belgrade-2024-2/playoff/furia-vs-eternal-fire-569432
TWC 2024,https://escorenews.com/ru/csgo/thunderpick-world-championship-2024,https://escorenews.com/media/event/_120/e8823.png,1/16,Closed Qualifier 2,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/ence,https://escorenews.com/media/logo/_90/t5173.png,ENCE eSports,0,0,Young Ninjas,https://escorenews.com/media/logo/_90/t72454.png,https://escorenews.com/ru/csgo/team/young-ninjas,2024-08-30 15:30:00,https://escorenews.com/ru/csgo/thunderpick-world-championship-2024/europe/ence-vs-young-ninjas-546626
ESL Atlanta 2024,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024,https://escorenews.com/media/event/_120/e8439.png,"Lower Bracket, Round 2",Closed Qualifier,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/gamerlegion,https://escorenews.com/media/logo/_90/t33704.png,GamerLegion,0,0,Monte,https://escorenews.com/media/logo/_90/t74174.png,https://escorenews.com/ru/csgo/team/monte,2024-08-30 13:30:00,https://escorenews.com/ru/csgo/esl-challenger-at-dreamhack-atlanta-2024/europe/gamerlegion-vs-monte-535741
