tournament_name,tournament_page_link,tournament_logo_link,tournament_format,tournament_stage,match_format,match_status,team1_page_link,team1_logo_link,team1,team1_score,team2_score,team2,team2_logo_link,team2_page_link,match_begin_time_UTC+0,match_url
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Upper Bracket, Round 1",Group C,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/astralis-talent,https://escorenews.com/media/logo/_90/t71367.png,Astralis Talent,0,0,Viperio,https://escorenews.com/media/logo/_90/t82216.png,https://escorenews.com/ru/csgo/team/viperio,2024-09-03 14:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/astralis-talent-vs-viperio-572623
WI S5,https://escorenews.com/ru/csgo/winline-insight-season-5,https://escorenews.com/media/event/_120/e9245.png,Table,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/rush-b-ru,https://escorenews.com/media/logo/_90/t97733.png,RUSH B,0,0,Insilio,https://escorenews.com/media/logo/_90/t70677.png,https://escorenews.com/ru/csgo/team/insilio,2024-09-01 14:00:00,https://escorenews.com/ru/csgo/winline-insight-season-5/group-stage/rush-b-ru-vs-insilio-572589
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Upper Bracket, Round 1",Group D,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/g2-ares,https://escorenews.com/media/logo/_90/t100324.png,G2 Ares,0,0,Revenant Esports,https://escorenews.com/media/logo/_90/t96647.png,https://escorenews.com/ru/csgo/team/revenant-rou,2024-09-03 17:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/g2-ares-vs-revenant-rou-572628
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group D,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/natus-vincere-junior,https://escorenews.com/media/logo/_90/t41007.png,Natus Vincere Junior,0,0,Anonymo Esports,https://escorenews.com/media/logo/_90/t74108.png,https://escorenews.com/ru/csgo/team/anonymo,2024-09-04 10:30:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/natus-vincere-junior-vs-anonymo-572900
WI S5,https://escorenews.com/ru/csgo/winline-insight-season-5,https://escorenews.com/media/event/_120/e9245.png,Table,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/rebels-pol,https://escorenews.com/media/logo/_90/t98174.png,Rebels Gaming,0,0,Partizan Esports,https://escorenews.com/media/logo/_90/t87213.png,https://escorenews.com/ru/csgo/team/partizan,2024-09-01 11:00:00,https://escorenews.com/ru/csgo/winline-insight-season-5/group-stage/rebels-pol-vs-partizan-572564
United21 S19,https://escorenews.com/ru/csgo/united21-season-19,https://escorenews.com/media/event/_120/e9289.png,"Upper Bracket, Round 1",Group D,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/eclot,https://escorenews.com/media/logo/_90/t41082.png,Dynamo Eclot,0,0,Copenhagen Wolves,https://escorenews.com/media/logo/_90/t40233.png,https://escorenews.com/ru/csgo/team/copenhagen-wolves,2024-09-04 08:00:00,https://escorenews.com/ru/csgo/united21-season-19/group-stage/eclot-vs-copenhagen-wolves-572901
TC 2024 Fall,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024,https://escorenews.com/media/event/_120/e8794.png,"Lower Bracket, Round 1",Group B,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/brute-evo,https://escorenews.com/media/logo/_90/t83133.png,BRUTE EVO,0,0,SINNERS Academy,https://escorenews.com/media/logo/_90/t95479.png,https://escorenews.com/ru/csgo/team/sinners-academy,2024-08-31 16:00:00,https://escorenews.com/ru/csgo/tipsport-cup-fall-2024/closed-qualifier/brute-evo-vs-sinners-academy-545017
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Upper Bracket, Round 2",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/natus-vincere-junior,https://escorenews.com/media/logo/_90/t41007.png,Natus Vincere Junior,0,0,Favbet Team,https://escorenews.com/media/logo/_90/t99671.png,https://escorenews.com/ru/csgo/team/favbet-team,2024-08-31 14:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/natus-vincere-junior-vs-favbet-team-572614
WI S5,https://escorenews.com/ru/csgo/winline-insight-season-5,https://escorenews.com/media/event/_120/e9245.png,Table,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/arcred,https://escorenews.com/media/logo/_90/t45771.png,ARCRED,0,0,Revenant Esports,https://escorenews.com/media/logo/_90/t96647.png,https://escorenews.com/ru/csgo/team/revenant-rou,2024-08-31 14:00:00,https://escorenews.com/ru/csgo/winline-insight-season-5/group-stage/arcred-vs-revenant-rou-572590
ESL Impact S6,https://escorenews.com/ru/csgo/esl-impact-league-season-6,https://escorenews.com/media/event/_120/e8585.png,Table,North America,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/blue-otter-karma,https://escorenews.com/media/logo/_90/t100584.png,Blue Otter Karma,0,0,Lotus,https://escorenews.com/media/logo/_90/t98633.png,https://escorenews.com/ru/csgo/team/lotus,2024-09-04 23:30:00,https://escorenews.com/ru/csgo/esl-impact-league-season-6/north-america/blue-otter-karma-vs-lotus-572247
