team_name,team_page_link,team_region,player_1,player_1_status,player_1_page_link,player_2,player_2_status,player_2_page_link,player_3,player_3_status,player_3_page_link,player_4,player_4_status,player_4_page_link,player_5,player_5_status,player_5_page_link,accomplishment_1,accomplishment_1_place,accomplishment_1_prize_pool,accomplishment_1_end_time,accomplishment_2,accomplishment_2_place,accomplishment_2_prize_pool,accomplishment_2_end_time,accomplishment_3,accomplishment_3_place,accomplishment_3_prize_pool,accomplishment_3_end_time,accomplishment_4,accomplishment_4_place,accomplishment_4_prize_pool,accomplishment_4_end_time,accomplishment_5,accomplishment_5_place,accomplishment_5_prize_pool,accomplishment_5_end_time,accomplishment_6,accomplishment_6_place,accomplishment_6_prize_pool,accomplishment_6_end_time,accomplishment_7,accomplishment_7_place,accomplishment_7_prize_pool,accomplishment_7_end_time,accomplishment_8,accomplishment_8_place,accomplishment_8_prize_pool,accomplishment_8_end_time,accomplishment_9,accomplishment_9_place,accomplishment_9_prize_pool,accomplishment_9_end_time,accomplishment_10,accomplishment_10_place,accomplishment_10_prize_pool,accomplishment_10_end_time,matches_played_in_the_last_year,matches_played_overall,winstreak
eyeballers,https://escorenews.com/ru/csgo/team/eyeballers,Europe,JW,active player,https://escorenews.com/ru/csgo/player/jw,HEAP,active player,https://escorenews.com/ru/csgo/player/heap,poiii,active player,https://escorenews.com/ru/csgo/player/poiii,delle,stand-in,https://escorenews.com/ru/csgo/player/delle,dex,stand-in,https://escorenews.com/ru/csgo/player/dex-se,ECL S48 – Europe,23,$500,2024-07-15,ECL S47 – Relegation Stage 2,3,,2024-06-10,ECL S47 – Europe,20,$1000,2024-06-10,ELCC 2024,2,$2342,2024-04-07,ECL S46 – Europe,5,$6500,2023-12-11,SC 2023,1,$23965,2023-12-03,EEO,1,$6312,2023-09-23,EI 2023 Spring,3,$1500,2023-06-10,ECL S45 – Europe,7,$1250,2023-05-28,CCT S1 SEU #4,5,$2000,2023-05-25,133,312,–
b8,https://escorenews.com/ru/csgo/team/b8,CIS,headtr1ck,active player,https://escorenews.com/ru/csgo/player/headtr1ck,alex666,active player,https://escorenews.com/ru/csgo/player/alex666,cptkurtka023,active player,https://escorenews.com/ru/csgo/player/cptkurtka023,npl,active player,https://escorenews.com/ru/csgo/player/npl,esenthial,active player,https://escorenews.com/ru/csgo/player/esenthial,CCT S2 EU #10,1,$22000,2024-09-08,CCT S2 EU #9,2,$10000,2024-08-28,HellCup #10,3,$5253,2024-08-11,CCT S2 EU #7,5,$2000,2024-08-06,CCT S2 EU #6,5,$2000,2024-07-28,ECL S48 – Europe,11,$3500,2024-07-15,CCT S2 EU #5,1,$22000,2024-06-16,ECL S47 – Europe,15,$1500,2024-06-10,CCT S2 EU #3,3,$5000,2024-05-26,EI 2024 Spring,1,$10000,2024-05-18,165,353,3
sinners-esports,https://escorenews.com/ru/csgo/team/sinners-cz,Europe,oskar,active player,https://escorenews.com/ru/csgo/player/oskar,beastik,active player,https://escorenews.com/ru/csgo/player/beastik,SHOCK,active player,https://escorenews.com/ru/csgo/player/shock,MoriiSko,active player,https://escorenews.com/ru/csgo/player/moriisko,majky,active player,https://escorenews.com/ru/csgo/player/majky-cze,CCT S2 EU #9,3,$5000,2024-08-28,CCT S2 EU #8,2,$10000,2024-08-18,TC 2024 Summer,2,$3004,2024-08-04,ECL S48 – Europe,12,$2500,2024-07-15,YGP 2024,5,$541,2024-06-13,ECL S47 – Europe,3,$10000,2024-06-10,CCT S2 EU #4,5,$2000,2024-06-02,TC 2024 Spring,3,$1318,2024-06-02,HellCup #9,5,$532,2024-05-09,TC 2024 Winter,2,$3030,2024-03-17,191,806,–
verdant,https://escorenews.com/ru/csgo/team/verdant,Europe,Diviiii,active player,https://escorenews.com/ru/csgo/player/diviiii,Girafffe,active player,https://escorenews.com/ru/csgo/player/girafffe,arTisT,active player,https://escorenews.com/ru/csgo/player/artist,Extinct,active player,https://escorenews.com/ru/csgo/player/extinct,Vacancy,active player,https://escorenews.com/ru/csgo/player/vacancy,EPIC.LAN 42,1,$2231,2024-07-21,UKIC League S2,3,$309,2024-06-18,ESEA Advanced S49 – Europe,7,$750,2024-06-11,United21 S15,3,$1000,2024-05-13,Insomnia 72,1,$3161,2024-04-01,UKIC League S1,3,$315,2024-03-29,UKICL 2023 Fall,2,$1506,2023-12-10,ESL UKI 2023 Autumn,3,$1643,2023-09-08,EPIC.LAN 39,5,$97,2023-07-30,,,,,129,134,3
astralis-talent,https://escorenews.com/ru/csgo/team/astralis-talent,Europe,kiR,active player,https://escorenews.com/ru/csgo/player/kir,kroK,active player,https://escorenews.com/ru/csgo/player/krok,ANSG1,active player,https://escorenews.com/ru/csgo/player/ansg1,sSen,active player,https://escorenews.com/ru/csgo/player/141073,suma,active player,https://escorenews.com/ru/csgo/player/142757,YGP 2024,5,$541,2024-06-13,D2L S26,3,$357,2024-06-12,XP GF 2024,3,$1082,2024-06-08,GM 2024,2,$1428,2024-04-21,D2L S25,2,$1448,2024-03-25,EPL S14 – Division 2,2,$3000,2024-03-18,United21 S9,2,$1500,2023-12-19,D2L S24,3,$365,2023-12-02,D2L S23,1,$9417,2023-06-17,CCT S1 WEU #4,5,$2000,2023-06-11,128,412,–
nexus-gaming,https://escorenews.com/ru/csgo/team/nexus,Europe,BTN,active player,https://escorenews.com/ru/csgo/player/btn,XELLOW,active player,https://escorenews.com/ru/csgo/player/xellow,Ciocardau,active player,https://escorenews.com/ru/csgo/player/ciocardau,ragga,active player,https://escorenews.com/ru/csgo/player/ragga,7kick,active player,https://escorenews.com/ru/csgo/player/7kick,Shuffle Masters 1,2,$2500,2024-07-20,Appolo1 P2,3,$1250,2024-06-03,Compass 2024 Spring,5,$1000,2024-05-02,ESEA Advanced S48 – Europe,2,$4300,2024-03-25,EPL S11 – Division 2,2,$3000,2023-11-06,ESEA Advanced S46 – Europe,7,$750,2023-10-09,ACL S1,1,$1000,2023-09-10,ESEA Advanced S44 – Europe,13,,2023-03-21,SDTVI #4,4,$250,2023-03-17,EPL S6 – Division 2,1,$5000,2023-03-07,172,1026,3
viperio,https://escorenews.com/ru/csgo/team/viperio,Europe,Skrimo,active player,https://escorenews.com/ru/csgo/player/skrimo,zodi,active player,https://escorenews.com/ru/csgo/player/zodi,dezt,active player,https://escorenews.com/ru/csgo/player/dezt,mAnGo,active player,https://escorenews.com/ru/csgo/player/133211,upE,stand-in,https://escorenews.com/ru/csgo/player/upe,ESEA Main S49 – Europe,9,,2024-06-17,United21 S14 – Division 1,3,$1000,2024-06-15,GDB The Best S2,2,$1250,2023-07-18,ESEA Advanced S45 – Europe,13,,2023-06-07,ESL UKI 2023 Spring,3,$1287,2023-06-04,EPL S7 – Division 2,3,$1500,2023-04-21,ECL S44 – Relegation,13,,2023-03-27,ESEA Advanced S44 – Europe,11,,2023-03-21,EPIC.LAN 38,2,$1084,2023-02-26,SDTVI #3,7,$100,2023-01-18,79,218,2
rush-b,https://escorenews.com/ru/csgo/team/rush-b-ru,CIS,kinqie,active player,https://escorenews.com/ru/csgo/player/kinqie,KIRO,active player,https://escorenews.com/ru/csgo/player/kiro,tex1y,active player,https://escorenews.com/ru/csgo/player/tex1y,executor,active player,https://escorenews.com/ru/csgo/player/executor,Gospadarov,stand-in,https://escorenews.com/ru/csgo/player/gospadarov,BVC,2,$3000,2024-08-04,ECL S48 – Europe,13,$2000,2024-07-15,ECL S47 – Europe,5,$6500,2024-06-10,WPL S1,1,$13418,2024-06-09,ESEA Advanced S47 – Europe,2,$4300,2023-12-14,ECL S46 – Relegation,1,,2023-12-11,,,,,,,,,,,,,,,,,70,70,4
revenant-esports,https://escorenews.com/ru/csgo/team/revenant-rou,Europe,NBK-,active player,https://escorenews.com/ru/csgo/player/nbk,reiko,active player,https://escorenews.com/ru/csgo/player/reiko,Nivera,active player,https://escorenews.com/ru/csgo/player/nivera,adeX,active player,https://escorenews.com/ru/csgo/player/adex,lauNX,active player,https://escorenews.com/ru/csgo/player/launx,EPL S18 – Division 2,2,$3000,2024-08-30,United21 S18,1,$6000,2024-08-13,United21 S17,1,$6000,2024-07-09,SM 2023,2,$38531,2023-08-27,,,,,,,,,,,,,,,,,,,,,,,,,67,83,–
natus-vincere-junior,https://escorenews.com/ru/csgo/team/natus-vincere-junior,CIS,Dem0N,active player,https://escorenews.com/ru/csgo/player/dem0n,krabeni,active player,https://escorenews.com/ru/csgo/player/krabeni,makazze,active player,https://escorenews.com/ru/csgo/player/makazze,cmtry,active player,https://escorenews.com/ru/csgo/player/cmtry,dziugss,active player,https://escorenews.com/ru/csgo/player/dziugss,Prodigy Series #2,3,$1500,2024-08-28,ESEA Main S49 – Europe,9,,2024-06-17,RCC #1,4,$1000,2024-06-17,Appolo1 P2,1,$5000,2024-06-03,United21 S13 – Division 1,2,$3000,2024-05-04,EPL S13 – Division 2,3,$1500,2024-02-09,HATOR Games #1,3,$1500,2024-01-07,ESEA Main S45 – Europe,9,,2023-06-19,YGP 2023,9,$1070,2023-06-07,WPA S6,3,$15000,2022-11-20,106,374,–
