team_name,team_page_link,team_region,player_1,player_1_status,player_1_page_link,player_2,player_2_status,player_2_page_link,player_3,player_3_status,player_3_page_link,player_4,player_4_status,player_4_page_link,player_5,player_5_status,player_5_page_link,accomplishment_1,accomplishment_1_place,accomplishment_1_prize_pool,accomplishment_1_end_time,accomplishment_2,accomplishment_2_place,accomplishment_2_prize_pool,accomplishment_2_end_time,accomplishment_3,accomplishment_3_place,accomplishment_3_prize_pool,accomplishment_3_end_time,accomplishment_4,accomplishment_4_place,accomplishment_4_prize_pool,accomplishment_4_end_time,accomplishment_5,accomplishment_5_place,accomplishment_5_prize_pool,accomplishment_5_end_time,accomplishment_6,accomplishment_6_place,accomplishment_6_prize_pool,accomplishment_6_end_time,accomplishment_7,accomplishment_7_place,accomplishment_7_prize_pool,accomplishment_7_end_time,accomplishment_8,accomplishment_8_place,accomplishment_8_prize_pool,accomplishment_8_end_time,accomplishment_9,accomplishment_9_place,accomplishment_9_prize_pool,accomplishment_9_end_time,accomplishment_10,accomplishment_10_place,accomplishment_10_prize_pool,accomplishment_10_end_time,matches_played_in_the_last_year,matches_played_overall,winstreak
fluxo-demons,https://escorenews.com/ru/csgo/team/fluxo-demons,South America,goddess,active player,https://escorenews.com/ru/csgo/player/goddess,annaEX,active player,https://escorenews.com/ru/csgo/player/annaex,yungher,active player,https://escorenews.com/ru/csgo/player/yungher,josi,active player,https://escorenews.com/ru/csgo/player/josi,poppins,active player,https://escorenews.com/ru/csgo/player/poppins,ESL Impact S5,3,$13000,2024-06-03,ESL Impact S4,3,$13000,2023-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,2
unity-esports,https://escorenews.com/ru/csgo/team/unity-cze,Europe,Pechyn,active player,https://escorenews.com/ru/csgo/player/pechyn,Blogg1s,active player,https://escorenews.com/ru/csgo/player/blogg1s,Levi,active player,https://escorenews.com/ru/csgo/player/levi,K1-FiDa,active player,https://escorenews.com/ru/csgo/player/k1-fida,M1key,active player,https://escorenews.com/ru/csgo/player/m1key,United21 S18,2,$3000,2024-08-13,United21 S16,2,$3000,2024-06-18,ESEA Main S49 – Europe,1,$3500,2024-06-17,United21 S14 – Division 1,2,$3000,2024-06-15,EPL S16 – Division 2,2,$3000,2024-06-06,TC 2024 Spring,2,$3076,2024-06-02,TC 2024 Winter,3,$1298,2024-03-17,ESEA Main S47 – Europe,2,$2200,2023-12-18,MCR 2023,3,$8970,2023-11-25,MSR 2023,2,$5330,2023-10-01,147,155,2
preasy-esport,https://escorenews.com/ru/csgo/team/preasy-esport,Europe,Equip,active player,https://escorenews.com/ru/csgo/player/equip,Griller,active player,https://escorenews.com/ru/csgo/player/griller,Skejs,active player,https://escorenews.com/ru/csgo/player/skejs,JBOEN,active player,https://escorenews.com/ru/csgo/player/jboen,Beccie,active player,https://escorenews.com/ru/csgo/player/Beccie-dk,EPL S17 – Division 2,3,$1500,2024-07-25,Shuffle Masters 1,3,$1250,2024-07-20,SZEG 2024,3,$1416,2024-06-09,CNS,3,$803,2024-04-27,EPL S14 – Division 1,1,$11000,2024-03-18,EPL S13 – Division 1,1,$11000,2024-02-09,Compass 2023 Fall,5,$1000,2023-12-13,EPL S12 – Division 1,1,$11000,2023-12-12,CCT S1 Finals #4,1,$100000,2023-11-19,CCT S1 EEU #3,3,$5000,2023-10-27,189,207,3
young-ninjas,https://escorenews.com/ru/csgo/team/young-ninjas,Europe,BluePho3nix,active player,https://escorenews.com/ru/csgo/player/bluepho3nix,MisteM,active player,https://escorenews.com/ru/csgo/player/mistem,jocab,active player,https://escorenews.com/ru/csgo/player/jocab,Silence,active player,https://escorenews.com/ru/csgo/player/silence-se,xKacpersky,active player,https://escorenews.com/ru/csgo/player/xkacpersky,Prodigy Series #1,1,$7000,2024-08-18,CCT S2 EU #8,5,$2000,2024-08-18,ESEA Intermediate S48 – Europe,1,$2000,2024-03-25,RES EU S1,3,$12500,2024-03-06,SE 2023 Spring,2,$5708,2023-06-18,CCT S1 WEU #4,3,$5000,2023-06-11,CCT S1 CEU #5,5,$2000,2023-03-31,EI 2023 Winter,9,$500,2023-03-11,TPB S2,11,$500,2023-02-06,SE 2022 Fall,2,$5752,2022-11-26,73,468,4
l&g,https://escorenews.com/ru/csgo/team/lg,CIS,Malkiss,active player,https://escorenews.com/ru/csgo/player/malkiss,kr1vda,active player,https://escorenews.com/ru/csgo/player/kr1vda,marat2k,active player,https://escorenews.com/ru/csgo/player/marat2k,kL1o,active player,https://escorenews.com/ru/csgo/player/kl1o,OneUn1que,active player,https://escorenews.com/ru/csgo/player/oneun1que,ESEA Main S49 – Europe,3,$1500,2024-06-17,United21 S13 – Division 2,2,$1000,2024-05-04,United21 S4,1,$2500,2023-07-30,ECL S45 – Relegation,9,,2023-05-28,,,,,,,,,,,,,,,,,,,,,,,,,27,43,2
sashi-esport,https://escorenews.com/ru/csgo/team/sashi,Europe,Lucky,active player,https://escorenews.com/ru/csgo/player/lucky,kwezz,active player,https://escorenews.com/ru/csgo/player/kwezz,Cabbi,active player,https://escorenews.com/ru/csgo/player/cabbi,IceBerg,active player,https://escorenews.com/ru/csgo/player/iceberg,MistR,active player,https://escorenews.com/ru/csgo/player/mistr,HellCup #10,3,$5253,2024-08-11,EWC 2024,10,$15000,2024-07-21,SCSC 2024,2,$3237,2024-07-13,D2L S26,1,$9352,2024-06-12,Compass 2024,11,$8000,2024-06-09,EI 2024 Spring,2,$5000,2024-05-18,HellCup #9,1,$18256,2024-05-09,Compass 2024 Spring,1,$12500,2024-05-02,CNS,1,$6422,2024-04-27,D2L S25,1,$9415,2024-03-25,154,217,3
aurora-gaming,https://escorenews.com/ru/csgo/team/aurora-rus,Europe,Lack1,active player,https://escorenews.com/ru/csgo/player/lack1,KENSI,active player,https://escorenews.com/ru/csgo/player/kensi,clax,active player,https://escorenews.com/ru/csgo/player/clax,Norwi,active player,https://escorenews.com/ru/csgo/player/norwi,deko,active player,https://escorenews.com/ru/csgo/player/deko,SC 2024,3,$35000,2024-07-28,ESL Jönköping 2024,3,$10000,2024-06-16,ECL S47 – Europe,4,$8500,2024-06-10,MNM 2024 Spring,3,$15000,2024-06-02,CCT S1 Global Finals,5,$12500,2024-05-23,ESL Melbourne 2024,2,$20000,2024-04-28,SM 2024,1,$105000,2024-04-14,SGS 2024,1,$28500,2024-03-16,Compass 2023 Fall,3,$1500,2023-12-13,ECL S46 – Europe,14,$2250,2023-12-11,154,283,–
kono.ecf,https://escorenews.com/ru/csgo/team/kono-ecf,CIS,byr9,active player,https://escorenews.com/ru/csgo/player/byr9,s4ltovsk1yy,active player,https://escorenews.com/ru/csgo/player/s4ltovsk1yy,amster,active player,https://escorenews.com/ru/csgo/player/amster,Polbandana,active player,https://escorenews.com/ru/csgo/player/polbandana,kensizor,active player,https://escorenews.com/ru/csgo/player/kensizor,United21 S18,3,$1000,2024-08-13,EPL S17 – Division 2,2,$3000,2024-07-25,United21 S16,1,$6000,2024-06-18,EI 2024 Spring,5,$1000,2024-05-18,,,,,,,,,,,,,,,,,,,,,,,,,61,61,2
wopa-esport,https://escorenews.com/ru/csgo/team/wopa,Europe,Vster,active player,https://escorenews.com/ru/csgo/player/vster,Gnoffe,active player,https://escorenews.com/ru/csgo/player/gnoffe,leakz,active player,https://escorenews.com/ru/csgo/player/leakz,zEden,active player,https://escorenews.com/ru/csgo/player/zeden,sL1m3,active player,https://escorenews.com/ru/csgo/player/sl1m3,D2L S26,3,$351,2024-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,9
illuminar-gaming,https://escorenews.com/ru/csgo/team/illuminar-gaming,Europe,Furlan,active player,https://escorenews.com/ru/csgo/player/furlan,Markoś,active player,https://escorenews.com/ru/csgo/player/markos,phr,active player,https://escorenews.com/ru/csgo/player/phr,b1elany,active player,https://escorenews.com/ru/csgo/player/b1elany,kadziu,active player,https://escorenews.com/ru/csgo/player/kadziu,RCA EU,5,$2500,2024-06-17,ESEA Main S49 – Europe,9,,2024-06-17,CCT S2 EU #5,5,$2000,2024-06-16,PLE 2024 #1,3,$1233,2024-04-21,United21 S9,1,$3500,2023-12-19,PLE 2023,3,$3775,2023-12-02,EPL S11 – Division 2,4,$500,2023-11-06,PLE 2023 #3,2,$2890,2023-11-05,EPL S9 – Division 1,2,$5000,2023-07-27,PLE 2023 #2,3,$1806,2023-06-18,166,755,4
avez-esports,https://escorenews.com/ru/csgo/team/avez,Europe,Tusi,active player,https://escorenews.com/ru/csgo/player/tusi,fanatyk,active player,https://escorenews.com/ru/csgo/player/fanatyk,AntyVirus,active player,https://escorenews.com/ru/csgo/player/antyvirus,MahaR,active player,https://escorenews.com/ru/csgo/player/mahar,v1ktooor,active player,https://escorenews.com/ru/csgo/player/v1ktooor,TC 2024 Summer,3,$1287,2024-08-04,PLE 2024 #1,5,$739,2024-04-21,United21 S11 – Division 2,3,$500,2024-03-09,PLE 2023 #2,9,$602,2023-06-18,PLE 2023 #1,9,$580,2023-04-16,PLE Autumn 2022 – Grupa Pretendentow,2,$443,2022-12-03,SCL S6 – Public,3,$50,2022-10-02,PPLAP #3,3,$208,2022-08-14,ESEA Intermediate S41 – Europe,3,$700,2022-07-18,SCL S4 – Public,1,$900,2022-05-25,33,385,2
og,https://escorenews.com/ru/csgo/team/og,Europe,F1KU,active player,https://escorenews.com/ru/csgo/player/f1ku,Nexius,active player,https://escorenews.com/ru/csgo/player/nexius,MoDo,active player,https://escorenews.com/ru/csgo/player/modo,Buzz,active player,https://escorenews.com/ru/csgo/player/buzz,Chr1zN,active player,https://escorenews.com/ru/csgo/player/chr1zn,BLAST Fall Showdown 2024,3,$12500,2024-08-25,BLAST Fall Groups 2024,13,$5000,2024-08-04,Compass 2024 Spring,5,$1000,2024-05-02,GET Rio 2024,4,$10000,2024-04-20,SM 2024,2,$70000,2024-04-14,BLAST Spring Showdown 2024,3,$12500,2024-03-10,BLAST Spring Groups 2024,13,$5000,2024-01-28,Roobet Cup 2023,5,$5000,2023-11-02,BLAST Fall Showdown 2023 – Europe,5,$5000,2023-10-08,CCT S1 Finals #2,5,$5000,2023-08-10,65,363,–
team-endpoint,https://escorenews.com/ru/csgo/team/endpoint,Europe,CRUC1AL,active player,https://escorenews.com/ru/csgo/player/cruc1al,Surreal,active player,https://escorenews.com/ru/csgo/player/surreal,MiGHTYMAX,active player,https://escorenews.com/ru/csgo/player/mightymax,cej0t,active player,https://escorenews.com/ru/csgo/player/cej0t,AZUWU,active player,https://escorenews.com/ru/csgo/player/azuwu,CCT S2 EU #9,5,$2000,2024-08-28,CCT S2 EU #8,3,$5000,2024-08-18,HellCup #10,2,$10507,2024-08-11,RCA EU,5,$2500,2024-06-17,EI 2024 Spring,9,$500,2024-05-18,CCT S2 EU #2,5,$2000,2024-05-12,MR 2023,1,$10000,2023-12-16,ESEA Advanced S47 – Europe,5,$1250,2023-12-14,LхT S2,2,$5000,2023-11-21,CCT S1 NEU #8,5,$2000,2023-10-25,129,826,–
nom-esports,https://escorenews.com/ru/csgo/team/nom,MENA,shushan,active player,https://escorenews.com/ru/csgo/player/shushan,m4tthi,active player,https://escorenews.com/ru/csgo/player/m4tthi,dan1,active player,https://escorenews.com/ru/csgo/player/dan1,MOREE,active player,https://escorenews.com/ru/csgo/player/moree,Zax1e,active player,https://escorenews.com/ru/csgo/player/zax1e,EPL S13 – Division 2,4,$500,2024-02-09,ESEA Main S47 – Europe,7,$300,2023-12-18,United21 S8 – Division 1,2,$1500,2023-12-08,WINNERS League S3 – Europe Main,5,$250,2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,70,90,2
lag-gaming,https://escorenews.com/ru/csgo/team/lag,North America,experative,active player,https://escorenews.com/ru/csgo/player/experative,nicx,active player,https://escorenews.com/ru/csgo/player/nicx,rayxts,active player,https://escorenews.com/ru/csgo/player/rayxts,ogwizard,active player,https://escorenews.com/ru/csgo/player/ogwizard,Weeza,active player,https://escorenews.com/ru/csgo/player/weeza,ECL S47 – North America,7,$3000,2024-06-10,Fragadelphia CSDO 2024,1,$5500,2024-03-18,ESEA Advanced S47 – North America,5,$1250,2023-12-14,ECL S46 – Relegation Stage 2,5,,2023-12-11,Fragicago 2023,3,$1000,2023-12-04,ESEA Advanced S43 – North America,13,,2022-12-16,ESEA Advanced S42 – North America,9,,2022-10-12,,,,,,,,,,,,,97,103,5
legacy,https://escorenews.com/ru/csgo/team/legacy-br,North America,NEKIZ,active player,https://escorenews.com/ru/csgo/player/nekiz,latto,active player,https://escorenews.com/ru/csgo/player/latto,b4rtiN,active player,https://escorenews.com/ru/csgo/player/b4rtin,dumau,active player,https://escorenews.com/ru/csgo/player/dumau,saadzin,active player,https://escorenews.com/ru/csgo/player/saadzin,TWC 2024 – Closed Qualifier 2 Phase 2,1,$20000,2024-10-01,CCT S2 SA #2,3,$1500,2024-08-03,CBCS S5,2,$3599,2024-07-14,CCT S2 NA #1,1,$10000,2024-06-17,ESEA Advanced S49 – North America,1,$7000,2024-06-11,PGL Major Copenhagen 2024,17,$10000,2024-03-31,CBCS 2023 S3,1,$10202,2023-11-04,BLAST Fall Showdown 2023 – America,5,$5000,2023-10-08,CCT S1 Finals #3,5,$5000,2023-09-25,,,,,109,109,–
virtus.pro,https://escorenews.com/ru/csgo/team/virtus-pro,Europe,electroNic,active player,https://escorenews.com/ru/csgo/player/electronic,Jame,active player,https://escorenews.com/ru/csgo/player/jame,FL1T,active player,https://escorenews.com/ru/csgo/player/fl1t,n0rb3r7,active player,https://escorenews.com/ru/csgo/player/n0rb3r7,fame,active player,https://escorenews.com/ru/csgo/player/fame,BBD Belgrade 2024 #2,5,$10000,2024-09-01,BLAST Fall Showdown 2024,3,$12500,2024-08-25,IEM Cologne 2024,13,$10000,2024-08-18,BLAST Fall Groups 2024,13,$5000,2024-08-04,EWC 2024,3,$85000,2024-07-21,BLAST Spring Final 2024,3,$40000,2024-06-16,IEM Dallas 2024,9,$5000,2024-06-02,EPL S19,5,$32000,2024-05-12,IEM Chengdu 2024,5,$10000,2024-04-14,PGL Major Copenhagen 2024,9,$20000,2024-03-31,86,1365,–
pain-gaming,https://escorenews.com/ru/csgo/team/pain-gaming,South America,biguzera,active player,https://escorenews.com/ru/csgo/player/biguzera,kauez,active player,https://escorenews.com/ru/csgo/player/kauez,nqz,active player,https://escorenews.com/ru/csgo/player/nqz,snow,active player,https://escorenews.com/ru/csgo/player/snow-bra,lux,active player,https://escorenews.com/ru/csgo/player/lux,BBD Belgrade 2024 #2,4,$35000,2024-09-01,BBD Belgrade 2024 #2 – Group Stage,1,$10000,2024-09-01,BLAST Fall Showdown 2024,5,$7500,2024-08-25,IEM Cologne 2024,7,$24000,2024-08-18,CCT S2 SA #2,1,$10000,2024-08-03,ASAM 2024 Fall,1,,2024-07-21,FiReLEAGUE 2023 Finals,5,$1500,2024-06-17,RCA SA,2,$10000,2024-06-16,CCT S2 SA #1,1,$10000,2024-06-11,ECL S47 – South America,5,$3000,2024-06-10,200,638,–
hotu,https://escorenews.com/ru/csgo/team/hotu,SEA & Oceania,Re1GN,active player,https://escorenews.com/ru/csgo/player/re1gn,mizu,active player,https://escorenews.com/ru/csgo/player/mizu,lampada,active player,https://escorenews.com/ru/csgo/player/lampada,anttzz,active player,https://escorenews.com/ru/csgo/player/anttzz,fineshine,active player,https://escorenews.com/ru/csgo/player/fineshine,REC 2024,1,$5650,2024-08-25,RCA CIS,5,$2500,2024-06-16,WPL S1,3,$2684,2024-06-09,Appolo1 P1,4,$1250,2024-04-21,RESF Open 2023,3,$2186,2023-12-09,RCL 2023,3,$6177,2023-08-13,LхT S1,3,$1500,2023-06-25,ESEA Main S45 – Europe,4,$1000,2023-06-19,REC 2023,4,$1242,2023-05-21,SCL S9 – Challenger,1,$3304,2023-05-08,40,166,–
alternate-attax,https://escorenews.com/ru/csgo/team/alternate,Europe,PerX,active player,https://escorenews.com/ru/csgo/player/perx,FreeZe,active player,https://escorenews.com/ru/csgo/player/freeze,ArroW,active player,https://escorenews.com/ru/csgo/player/arrow,awzek,active player,https://escorenews.com/ru/csgo/player/awzek,hyped,active player,https://escorenews.com/ru/csgo/player/hyped,CCT S2 EU #9,1,$22000,2024-08-28,IEM Cologne 2024,21,$2500,2024-08-18,ECL S47 – Europe,23,$1000,2024-06-10,XP GF 2024,3,$1082,2024-06-08,RES EU S3,3,$12500,2024-05-03,EPL S15 – Division 1,4,$1000,2024-04-25,ESL DACH 2023 Autumn,1,$8181,2023-12-16,ESEA Advanced S47 – Europe,5,$1250,2023-12-14,EPL S12 – Division 1,2,$5000,2023-12-12,CCT S1 Finals #4,7,$5000,2023-11-19,200,1351,–
fluffy-gangsters,https://escorenews.com/ru/csgo/team/fluffy-gangsters,CIS,SoLb,active player,https://escorenews.com/ru/csgo/player/solb,Djon8,active player,https://escorenews.com/ru/csgo/player/djon8,h1ghnesS,active player,https://escorenews.com/ru/csgo/player/h1ghness,yuramyata,active player,https://escorenews.com/ru/csgo/player/yuramyata,takanashi,active player,https://escorenews.com/ru/csgo/player/takanashi,ESEA Main S45 – Europe,13,,2023-06-19,SCL S6 – Public,1,$600,2022-10-02,CIS Cologne 2016,1,$30000,2016-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,77,2
gr-gaming,https://escorenews.com/ru/csgo/team/gr-rus,SEA & Oceania,mediocrity,active player,https://escorenews.com/ru/csgo/player/mediocrity,SALO_MUX,active player,https://escorenews.com/ru/csgo/player/salo-mux,weqt2,active player,https://escorenews.com/ru/csgo/player/weqt2,Runnin,active player,https://escorenews.com/ru/csgo/player/runnin,7nation,active player,https://escorenews.com/ru/csgo/player/7nation,ECL S47 – Asia,4,$3000,2024-06-10,OQF,3,$500,2024-02-18,ECL S46 – APAC,5,$2000,2023-12-11,PPL S5 – Challenger,9,$701,2023-09-03,ECL S45 – Relegation,1,,2023-05-28,ECL S44 – APAC,5,$900,2023-03-27,BCI #2,1,$6000,2023-03-19,ECC Winter 2023 #4 – Asia,1,$750,2023-02-19,ECC Winter 2023 #2 – Asia,1,$750,2023-01-30,ECL S43 – Relegation,1,,2022-12-19,107,162,10
vantage-esports,https://escorenews.com/ru/csgo/team/vantage,SEA & Oceania,N1ghtraid,active player,https://escorenews.com/ru/csgo/player/n1ghtraid,Drox,active player,https://escorenews.com/ru/csgo/player/drox,nauh,active player,https://escorenews.com/ru/csgo/player/nauh,Jynx,active player,https://escorenews.com/ru/csgo/player/jynx-au,alecc,active player,https://escorenews.com/ru/csgo/player/alecc,ECL S47 – Oceania,5,$800,2024-06-10,ESEA Open S47 – Oceania,2,$600,2023-12-18,ESL ANZ S17,4,$493,2023-11-21,CCT S1 OCE #3,3,$977,2023-11-05,CCT S1 OCE #2,3,$962,2023-10-01,CCT S1 OCE #1,5,$482,2023-09-17,,,,,,,,,,,,,,,,,96,96,2
flyquest,https://escorenews.com/ru/csgo/team/flyquest,SEA & Oceania,dexter,active player,https://escorenews.com/ru/csgo/player/dexter,INS,active player,https://escorenews.com/ru/csgo/player/ins,aliStair,active player,https://escorenews.com/ru/csgo/player/alistair,Liazz,active player,https://escorenews.com/ru/csgo/player/liazz,Vexite,active player,https://escorenews.com/ru/csgo/player/vexite,EPL S20,21,$7000,2024-09-03,IEM Cologne 2024,21,$2500,2024-08-18,EWC 2024,12,$10000,2024-07-21,ECL S47 – Oceania,1,$3250,2024-06-10,IEM Dallas 2024,13,$4000,2024-06-02,EPL S19,9,$23500,2024-05-12,IEM Chengdu 2024,7,$6000,2024-04-14,,,,,,,,,,,,,45,45,–
gods-reign,https://escorenews.com/ru/csgo/team/gods-reign,SEA & Oceania,f1redup,active player,https://escorenews.com/ru/csgo/player/f1redup,reV3nnnn,active player,https://escorenews.com/ru/csgo/player/reV3nnnn,Ph1NNN,active player,https://escorenews.com/ru/csgo/player/Ph1NNN,Bhavi,active player,https://escorenews.com/ru/csgo/player/bhavi,R2B2,active player,https://escorenews.com/ru/csgo/player/r2b2,Dust2.in #13,1,$1000,2024-08-18,Dust2.in #12,1,$1000,2024-07-21,Dust2.in #11,1,$1000,2024-06-30,ECL S47 – Asia,12,$300,2024-06-10,Dust2.in #10,1,$1000,2024-05-26,SM 2024,7,$15000,2024-04-14,Dust2.in #8,1,$1000,2024-03-24,SGS 2024,2,$12500,2024-03-16,Dust2.in #7,1,$1000,2024-02-25,BLAST The Draft S1,5,$2500,2024-02-11,109,125,–
zero-tenacity,https://escorenews.com/ru/csgo/team/zero-tenacity,Europe,aVN,active player,https://escorenews.com/ru/csgo/player/avn,Cjoffo,active player,https://escorenews.com/ru/csgo/player/cjoffo,brutmonster,active player,https://escorenews.com/ru/csgo/player/brutmonster,nEMANHA,active player,https://escorenews.com/ru/csgo/player/nemanha,simke,active player,https://escorenews.com/ru/csgo/player/simke,TWC 2024 – Closed Qualifier 2,2,$5000,2024-10-01,CCT S2 EU #10,3,$5000,2024-09-08,CCT S2 EU #9,5,$2000,2024-08-28,BLAST Fall Showdown 2024,9,$5000,2024-08-25,CCT S2 EU #8,5,$2000,2024-08-18,CCT S2 EU #7,5,$2000,2024-08-06,EPL S17 – Division 2,1,$5000,2024-07-25,RES EU S6,3,$12500,2024-07-22,ESEA Advanced S49 – Europe,4,$2000,2024-06-11,ECL S47 – Relegation Stage 2,3,,2024-06-10,231,424,–
true-rippers-esports,https://escorenews.com/ru/csgo/team/true-rippers,SEA & Oceania,Rossi,active player,https://escorenews.com/ru/csgo/player/rossi,DEFAULTER,active player,https://escorenews.com/ru/csgo/player/defaulter,Crunchy,active player,https://escorenews.com/ru/csgo/player/crunchy,Crazy_Gamer,active player,https://escorenews.com/ru/csgo/player/crazy-gamer,DayMake,active player,https://escorenews.com/ru/csgo/player/DayMake,Dust2.in #11,2,$500,2024-06-30,Dust2.in #10,2,$500,2024-05-26,Dust2.in #9,1,$1000,2024-04-29,BLAST The Draft S1,2,$12000,2024-02-11,Dust2.in #6,1,$1000,2024-01-21,,,,,,,,,,,,,,,,,,,,,37,37,–
team-sampi,https://escorenews.com/ru/csgo/team/sampi,Europe,ZEDKO,active player,https://escorenews.com/ru/csgo/player/zedko,The eLiVe,active player,https://escorenews.com/ru/csgo/player/the-elive,manguss,active player,https://escorenews.com/ru/csgo/player/manguss,fino,active player,https://escorenews.com/ru/csgo/player/fino,sAvana1,active player,https://escorenews.com/ru/csgo/player/savana1,EPL S18 – Division 1,2,$5000,2024-08-30,YGP 2024,3,$3244,2024-06-13,TC 2024 Spring,4,$659,2024-06-02,EI 2024 Spring,5,$1000,2024-05-18,EPL S15 – Division 1,2,$5000,2024-04-25,A1 GL S8,3,$1952,2024-04-14,EPL S14 – Division 1,2,$5000,2024-03-18,TC 2024 Winter,4,$650,2024-03-17,MCR 2023,1,$44849,2023-11-25,TС Prague 2023 Fall,3,$2159,2023-10-15,178,506,–
monte-gen,https://escorenews.com/ru/csgo/team/monte-gen,Europe,shield,active player,https://escorenews.com/ru/csgo/player/shield,Ryu,active player,https://escorenews.com/ru/csgo/player/Ryu-LT,leen,active player,https://escorenews.com/ru/csgo/player/leen-ukr,Gizmy,active player,https://escorenews.com/ru/csgo/player/gizmy,fnl,active player,https://escorenews.com/ru/csgo/player/fnl,CCT S2 EU #9,3,$5000,2024-08-28,Appolo1 P2,2,$2500,2024-06-03,IceBonus S1,2,$3000,2024-02-09,United21 S10 – Division 1,2,$1500,2024-02-02,United21 S8 – Division 2,1,$2000,2023-12-08,,,,,,,,,,,,,,,,,,,,,67,67,–
grannys-knockers,https://escorenews.com/ru/csgo/team/grannys-knockers,Europe,BaGyZ,active player,https://escorenews.com/ru/csgo/player/bagyz,Sidivo,active player,https://escorenews.com/ru/csgo/player/sidivo,slokker,active player,https://escorenews.com/ru/csgo/player/slokker,MAGILA,active player,https://escorenews.com/ru/csgo/player/magila,StreakN,active player,https://escorenews.com/ru/csgo/player/streakn,HellCup #9,3,$5064,2024-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,3
chinggis-warriors,https://escorenews.com/ru/csgo/team/chinggis-warriors,SEA & Oceania,Zilkenberg,active player,https://escorenews.com/ru/csgo/player/zilkenberg,NEUZ,active player,https://escorenews.com/ru/csgo/player/neuz,xerolte,active player,https://escorenews.com/ru/csgo/player/xerolte,fury5k,active player,https://escorenews.com/ru/csgo/player/fury5k,flame,stand-in,https://escorenews.com/ru/csgo/player/flame,XPL S2,2,$4127,2024-08-06,MPS 2024 Spring,1,,2024-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,–
atox-esports,https://escorenews.com/ru/csgo/team/atox,SEA & Oceania,kabal,active player,https://escorenews.com/ru/csgo/player/kabal-mng,dobu,active player,https://escorenews.com/ru/csgo/player/dobu,Annihilation,active player,https://escorenews.com/ru/csgo/player/Annihilation,yAmi,active player,https://escorenews.com/ru/csgo/player/yami,MiQ,active player,https://escorenews.com/ru/csgo/player/miq,ECL S47 – Asia,2,$8000,2024-06-10,MPS 2024 Finals,2,,2024-05-18,ASL S3,2,$4144,2024-04-21,ESN NC 2024,2,$2319,2024-04-14,ASL S2,1,$11133,2024-03-11,ASL S1,3,$2816,2024-01-06,ECL S46 – APAC,7,$1300,2023-12-11,MPS 2023 Winter,1,$3187,2023-12-02,MPS 2023 Fall,2,$1445,2023-11-04,PPL S5 – Professional,3,$4119,2023-09-03,146,167,–
wildcard,https://escorenews.com/ru/csgo/team/wildcard,North America,stanislaw,active player,https://escorenews.com/ru/csgo/player/stanislaw,Sonic,active player,https://escorenews.com/ru/csgo/player/sonic-za,phzy,active player,https://escorenews.com/ru/csgo/player/phzy,susp,active player,https://escorenews.com/ru/csgo/player/susp,JBa,active player,https://escorenews.com/ru/csgo/player/jba-usa,EPL S20,21,$7000,2024-09-03,CCT S2 NA #2,1,$10000,2024-08-19,NA RS #1,1,$4000,2024-07-22,CCT S2 NA #1,3,$1500,2024-06-17,ECL S47 – North America,2,$15000,2024-06-10,IEM Chengdu 2024,13,$4000,2024-04-14,TWC 2023 – Closed Qualifier 1,1,$20000,2023-11-05,ESEA Pre-Season 2023 – North America,1,$10000,2023-08-01,ECCС 2023 NA Final,3,$7000,2023-06-10,ECL S45 – North America,5,$2500,2023-05-28,149,181,–
nrg,https://escorenews.com/ru/csgo/team/nrg,North America,nitr0,active player,https://escorenews.com/ru/csgo/player/nitr0,autimatic,active player,https://escorenews.com/ru/csgo/player/autimatic,Brehze,active player,https://escorenews.com/ru/csgo/player/brehze,oSee,active player,https://escorenews.com/ru/csgo/player/osee,HexT,active player,https://escorenews.com/ru/csgo/player/hext,CCT S2 NA #2,5,$750,2024-08-19,NA RS #2,1,$4000,2024-08-05,NA RS #1,2,$1000,2024-07-22,ECL S47 – North America,5,$4250,2024-06-10,ANAM 2024 Fall,1,,2024-06-09,NA Revival Cup,2,$1000,2024-05-19,David's Cup,1,$2000,2024-05-13,ECL S46 – Relegation Stage 2,1,,2023-12-11,ECS S8 – Series #1,1,$12500,2019-12-02,StarLadder Berlin Major 2019,3,$70000,2019-09-08,129,624,–
